/raid/home/automatants/peytevin_pau/Can-t-Stop/env/lib/python3.10/site-packages/gymnasium/envs/registration.py:487: UserWarning: [33mWARN: The environment creator metadata doesn't include `render_modes`, contains: ['render.modes'][0m
  logger.warn(
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to logs/PPO-1755550275/ppo_cant_stop_0
---------------------------------
| rollout/           |          |
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 54.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 411         |
|    time_elapsed         | 1795        |
|    total_timesteps      | 841728      |
| train/                  |             |
|    approx_kl            | 0.013733933 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.58       |
|    explained_variance   | 0.362       |
|    learning_rate        | 0.0003      |
|    loss                 | 130         |
|    n_updates            | 4100        |
|    policy_gradient_loss | -0.0226     |
|    value_loss           | 305         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.7        |
|    ep_rew_mean          | 57.9        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 412         |
|    time_elapsed         | 1800        |
|    total_timesteps      | 843776      |
| train/                  |             |
|    approx_kl            | 0.012878904 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.573      |
|    explained_variance   | 0.335       |
|    learning_rate        | 0.0003      |
|    loss                 | 101         |
|    n_updates            | 4110        |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 309         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.5        |
|    ep_rew_mean          | 61.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 413         |
|    time_elapsed         | 1804        |
|    total_timesteps      | 845824      |
| train/                  |             |
|    approx_kl            | 0.018269187 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.606      |
|    explained_variance   | 0.224       |
|    learning_rate        | 0.0003      |
|    loss                 | 93.3        |
|    n_updates            | 4120        |
|    policy_gradient_loss | -0.0271     |
|    value_loss           | 248         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.6        |
|    ep_rew_mean          | 53.8        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 414         |
|    time_elapsed         | 1808        |
|    total_timesteps      | 847872      |
| train/                  |             |
|    approx_kl            | 0.020615786 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.576      |
|    explained_variance   | 0.234       |
|    learning_rate        | 0.0003      |
|    loss                 | 69.5        |
|    n_updates            | 4130        |
|    policy_gradient_loss | -0.0271     |
|    value_loss           | 232         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 48.5        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 415         |
|    time_elapsed         | 1813        |
|    total_timesteps      | 849920      |
| train/                  |             |
|    approx_kl            | 0.015275128 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.586      |
|    explained_variance   | 0.244       |
|    learning_rate        | 0.0003      |
|    loss                 | 153         |
|    n_updates            | 4140        |
|    policy_gradient_loss | -0.025      |
|    value_loss           | 322         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 57.7        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 416         |
|    time_elapsed         | 1817        |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.017054148 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.586      |
|    explained_variance   | 0.226       |
|    learning_rate        | 0.0003      |
|    loss                 | 122         |
|    n_updates            | 4150        |
|    policy_gradient_loss | -0.0248     |
|    value_loss           | 290         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 60          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 417         |
|    time_elapsed         | 1821        |
|    total_timesteps      | 854016      |
| train/                  |             |
|    approx_kl            | 0.013641886 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.598      |
|    explained_variance   | 0.291       |
|    learning_rate        | 0.0003      |
|    loss                 | 157         |
|    n_updates            | 4160        |
|    policy_gradient_loss | -0.0222     |
|    value_loss           | 321         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 59.4        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 418         |
|    time_elapsed         | 1826        |
|    total_timesteps      | 856064      |
| train/                  |             |
|    approx_kl            | 0.017512865 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.574      |
|    explained_variance   | 0.25        |
|    learning_rate        | 0.0003      |
|    loss                 | 94.9        |
|    n_updates            | 4170        |
|    policy_gradient_loss | -0.0256     |
|    value_loss           | 277         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 32.3       |
|    ep_rew_mean          | 58.1       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 419        |
|    time_elapsed         | 1830       |
|    total_timesteps      | 858112     |
| train/                  |            |
|    approx_kl            | 0.02301846 |
|    clip_fraction        | 0.172      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.586     |
|    explained_variance   | 0.199      |
|    learning_rate        | 0.0003     |
|    loss                 | 96.2       |
|    n_updates            | 4180       |
|    policy_gradient_loss | -0.0292    |
|    value_loss           | 251        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33          |
|    ep_rew_mean          | 53          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 420         |
|    time_elapsed         | 1835        |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.018682832 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.595      |
|    explained_variance   | 0.338       |
|    learning_rate        | 0.0003      |
|    loss                 | 94.8        |
|    n_updates            | 4190        |
|    policy_gradient_loss | -0.024      |
|    value_loss           | 252         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.6        |
|    ep_rew_mean          | 55.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 421         |
|    time_elapsed         | 1839        |
|    total_timesteps      | 862208      |
| train/                  |             |
|    approx_kl            | 0.016556874 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.562      |
|    explained_variance   | 0.351       |
|    learning_rate        | 0.0003      |
|    loss                 | 82          |
|    n_updates            | 4200        |
|    policy_gradient_loss | -0.0205     |
|    value_loss           | 246         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.2        |
|    ep_rew_mean          | 59.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 422         |
|    time_elapsed         | 1843        |
|    total_timesteps      | 864256      |
| train/                  |             |
|    approx_kl            | 0.015472154 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.577      |
|    explained_variance   | 0.238       |
|    learning_rate        | 0.0003      |
|    loss                 | 111         |
|    n_updates            | 4210        |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 296         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34          |
|    ep_rew_mean          | 53.7        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 423         |
|    time_elapsed         | 1848        |
|    total_timesteps      | 866304      |
| train/                  |             |
|    approx_kl            | 0.013870928 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.588      |
|    explained_variance   | 0.265       |
|    learning_rate        | 0.0003      |
|    loss                 | 75.2        |
|    n_updates            | 4220        |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 268         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.1        |
|    ep_rew_mean          | 47.4        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 424         |
|    time_elapsed         | 1852        |
|    total_timesteps      | 868352      |
| train/                  |             |
|    approx_kl            | 0.022925047 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.573      |
|    explained_variance   | 0.0858      |
|    learning_rate        | 0.0003      |
|    loss                 | 95.7        |
|    n_updates            | 4230        |
|    policy_gradient_loss | -0.0273     |
|    value_loss           | 238         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 33.8      |
|    ep_rew_mean          | 42.6      |
| time/                   |           |
|    fps                  | 468       |
|    iterations           | 425       |
|    time_elapsed         | 1856      |
|    total_timesteps      | 870400    |
| train/                  |           |
|    approx_kl            | 0.0153339 |
|    clip_fraction        | 0.127     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.575    |
|    explained_variance   | 0.261     |
|    learning_rate        | 0.0003    |
|    loss                 | 104       |
|    n_updates            | 4240      |
|    policy_gradient_loss | -0.0262   |
|    value_loss           | 330       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.1        |
|    ep_rew_mean          | 51.1        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 426         |
|    time_elapsed         | 1861        |
|    total_timesteps      | 872448      |
| train/                  |             |
|    approx_kl            | 0.017273296 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.576      |
|    explained_variance   | 0.286       |
|    learning_rate        | 0.0003      |
|    loss                 | 98.9        |
|    n_updates            | 4250        |
|    policy_gradient_loss | -0.0235     |
|    value_loss           | 300         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.7        |
|    ep_rew_mean          | 59          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 427         |
|    time_elapsed         | 1865        |
|    total_timesteps      | 874496      |
| train/                  |             |
|    approx_kl            | 0.014418155 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.578      |
|    explained_variance   | 0.37        |
|    learning_rate        | 0.0003      |
|    loss                 | 161         |
|    n_updates            | 4260        |
|    policy_gradient_loss | -0.0257     |
|    value_loss           | 244         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.1       |
|    ep_rew_mean          | 48.1       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 428        |
|    time_elapsed         | 1869       |
|    total_timesteps      | 876544     |
| train/                  |            |
|    approx_kl            | 0.01929148 |
|    clip_fraction        | 0.142      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.59      |
|    explained_variance   | 0.276      |
|    learning_rate        | 0.0003     |
|    loss                 | 127        |
|    n_updates            | 4270       |
|    policy_gradient_loss | -0.0236    |
|    value_loss           | 284        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.1       |
|    ep_rew_mean          | 51.3       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 429        |
|    time_elapsed         | 1874       |
|    total_timesteps      | 878592     |
| train/                  |            |
|    approx_kl            | 0.01587703 |
|    clip_fraction        | 0.138      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.575     |
|    explained_variance   | 0.382      |
|    learning_rate        | 0.0003     |
|    loss                 | 90.3       |
|    n_updates            | 4280       |
|    policy_gradient_loss | -0.0232    |
|    value_loss           | 231        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 32.4       |
|    ep_rew_mean          | 56.5       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 430        |
|    time_elapsed         | 1878       |
|    total_timesteps      | 880640     |
| train/                  |            |
|    approx_kl            | 0.01898864 |
|    clip_fraction        | 0.157      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.603     |
|    explained_variance   | 0.328      |
|    learning_rate        | 0.0003     |
|    loss                 | 91.1       |
|    n_updates            | 4290       |
|    policy_gradient_loss | -0.0241    |
|    value_loss           | 217        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.3         |
|    ep_rew_mean          | 48.4         |
| time/                   |              |
|    fps                  | 468          |
|    iterations           | 431          |
|    time_elapsed         | 1882         |
|    total_timesteps      | 882688       |
| train/                  |              |
|    approx_kl            | 0.0139838895 |
|    clip_fraction        | 0.123        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.605       |
|    explained_variance   | 0.238        |
|    learning_rate        | 0.0003       |
|    loss                 | 99.8         |
|    n_updates            | 4300         |
|    policy_gradient_loss | -0.0205      |
|    value_loss           | 257          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.5        |
|    ep_rew_mean          | 49.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 432         |
|    time_elapsed         | 1887        |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.019030884 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.605      |
|    explained_variance   | 0.229       |
|    learning_rate        | 0.0003      |
|    loss                 | 96.7        |
|    n_updates            | 4310        |
|    policy_gradient_loss | -0.0265     |
|    value_loss           | 244         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 50.8        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 433         |
|    time_elapsed         | 1891        |
|    total_timesteps      | 886784      |
| train/                  |             |
|    approx_kl            | 0.013864659 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.582      |
|    explained_variance   | 0.233       |
|    learning_rate        | 0.0003      |
|    loss                 | 144         |
|    n_updates            | 4320        |
|    policy_gradient_loss | -0.0229     |
|    value_loss           | 273         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.6        |
|    ep_rew_mean          | 52.2        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 434         |
|    time_elapsed         | 1896        |
|    total_timesteps      | 888832      |
| train/                  |             |
|    approx_kl            | 0.018293716 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.615      |
|    explained_variance   | 0.376       |
|    learning_rate        | 0.0003      |
|    loss                 | 105         |
|    n_updates            | 4330        |
|    policy_gradient_loss | -0.0278     |
|    value_loss           | 281         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.6        |
|    ep_rew_mean          | 51.7        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 435         |
|    time_elapsed         | 1900        |
|    total_timesteps      | 890880      |
| train/                  |             |
|    approx_kl            | 0.019078888 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.603      |
|    explained_variance   | 0.271       |
|    learning_rate        | 0.0003      |
|    loss                 | 102         |
|    n_updates            | 4340        |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 283         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.9        |
|    ep_rew_mean          | 52.2        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 436         |
|    time_elapsed         | 1904        |
|    total_timesteps      | 892928      |
| train/                  |             |
|    approx_kl            | 0.018987244 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.594      |
|    explained_variance   | 0.279       |
|    learning_rate        | 0.0003      |
|    loss                 | 114         |
|    n_updates            | 4350        |
|    policy_gradient_loss | -0.024      |
|    value_loss           | 231         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.9        |
|    ep_rew_mean          | 53.9        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 437         |
|    time_elapsed         | 1909        |
|    total_timesteps      | 894976      |
| train/                  |             |
|    approx_kl            | 0.016045464 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.616      |
|    explained_variance   | 0.284       |
|    learning_rate        | 0.0003      |
|    loss                 | 108         |
|    n_updates            | 4360        |
|    policy_gradient_loss | -0.0254     |
|    value_loss           | 226         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.8        |
|    ep_rew_mean          | 53.4        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 438         |
|    time_elapsed         | 1913        |
|    total_timesteps      | 897024      |
| train/                  |             |
|    approx_kl            | 0.018112514 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.629      |
|    explained_variance   | 0.225       |
|    learning_rate        | 0.0003      |
|    loss                 | 67.9        |
|    n_updates            | 4370        |
|    policy_gradient_loss | -0.0249     |
|    value_loss           | 225         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33          |
|    ep_rew_mean          | 56.2        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 439         |
|    time_elapsed         | 1917        |
|    total_timesteps      | 899072      |
| train/                  |             |
|    approx_kl            | 0.021509368 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.618      |
|    explained_variance   | 0.135       |
|    learning_rate        | 0.0003      |
|    loss                 | 114         |
|    n_updates            | 4380        |
|    policy_gradient_loss | -0.0283     |
|    value_loss           | 234         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.6        |
|    ep_rew_mean          | 56.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 440         |
|    time_elapsed         | 1922        |
|    total_timesteps      | 901120      |
| train/                  |             |
|    approx_kl            | 0.016118625 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.609      |
|    explained_variance   | 0.317       |
|    learning_rate        | 0.0003      |
|    loss                 | 94.9        |
|    n_updates            | 4390        |
|    policy_gradient_loss | -0.0228     |
|    value_loss           | 255         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 59          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 441         |
|    time_elapsed         | 1926        |
|    total_timesteps      | 903168      |
| train/                  |             |
|    approx_kl            | 0.013009906 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.633      |
|    explained_variance   | 0.286       |
|    learning_rate        | 0.0003      |
|    loss                 | 137         |
|    n_updates            | 4400        |
|    policy_gradient_loss | -0.0226     |
|    value_loss           | 270         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.2        |
|    ep_rew_mean          | 56.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 442         |
|    time_elapsed         | 1930        |
|    total_timesteps      | 905216      |
| train/                  |             |
|    approx_kl            | 0.016726118 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.618      |
|    explained_variance   | 0.33        |
|    learning_rate        | 0.0003      |
|    loss                 | 115         |
|    n_updates            | 4410        |
|    policy_gradient_loss | -0.0239     |
|    value_loss           | 255         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 32.9       |
|    ep_rew_mean          | 52.2       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 443        |
|    time_elapsed         | 1935       |
|    total_timesteps      | 907264     |
| train/                  |            |
|    approx_kl            | 0.01618402 |
|    clip_fraction        | 0.139      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.626     |
|    explained_variance   | 0.28       |
|    learning_rate        | 0.0003     |
|    loss                 | 119        |
|    n_updates            | 4420       |
|    policy_gradient_loss | -0.0242    |
|    value_loss           | 265        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 45.8        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 444         |
|    time_elapsed         | 1939        |
|    total_timesteps      | 909312      |
| train/                  |             |
|    approx_kl            | 0.017052531 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.641      |
|    explained_variance   | 0.314       |
|    learning_rate        | 0.0003      |
|    loss                 | 114         |
|    n_updates            | 4430        |
|    policy_gradient_loss | -0.0265     |
|    value_loss           | 279         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 51.5        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 445         |
|    time_elapsed         | 1944        |
|    total_timesteps      | 911360      |
| train/                  |             |
|    approx_kl            | 0.018367007 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.636      |
|    explained_variance   | 0.146       |
|    learning_rate        | 0.0003      |
|    loss                 | 101         |
|    n_updates            | 4440        |
|    policy_gradient_loss | -0.0251     |
|    value_loss           | 264         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.4       |
|    ep_rew_mean          | 60.1       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 446        |
|    time_elapsed         | 1948       |
|    total_timesteps      | 913408     |
| train/                  |            |
|    approx_kl            | 0.01976567 |
|    clip_fraction        | 0.156      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.64      |
|    explained_variance   | 0.283      |
|    learning_rate        | 0.0003     |
|    loss                 | 108        |
|    n_updates            | 4450       |
|    policy_gradient_loss | -0.027     |
|    value_loss           | 278        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.3        |
|    ep_rew_mean          | 50.2        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 447         |
|    time_elapsed         | 1952        |
|    total_timesteps      | 915456      |
| train/                  |             |
|    approx_kl            | 0.025165383 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.649      |
|    explained_variance   | 0.199       |
|    learning_rate        | 0.0003      |
|    loss                 | 122         |
|    n_updates            | 4460        |
|    policy_gradient_loss | -0.0267     |
|    value_loss           | 219         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.5        |
|    ep_rew_mean          | 57.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 448         |
|    time_elapsed         | 1957        |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.018853415 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.638      |
|    explained_variance   | 0.208       |
|    learning_rate        | 0.0003      |
|    loss                 | 117         |
|    n_updates            | 4470        |
|    policy_gradient_loss | -0.0258     |
|    value_loss           | 301         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 49.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 449         |
|    time_elapsed         | 1961        |
|    total_timesteps      | 919552      |
| train/                  |             |
|    approx_kl            | 0.016878944 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.618      |
|    explained_variance   | 0.338       |
|    learning_rate        | 0.0003      |
|    loss                 | 85.6        |
|    n_updates            | 4480        |
|    policy_gradient_loss | -0.0253     |
|    value_loss           | 255         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.2        |
|    ep_rew_mean          | 47.8        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 450         |
|    time_elapsed         | 1965        |
|    total_timesteps      | 921600      |
| train/                  |             |
|    approx_kl            | 0.014966447 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.629      |
|    explained_variance   | 0.314       |
|    learning_rate        | 0.0003      |
|    loss                 | 111         |
|    n_updates            | 4490        |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 325         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.6        |
|    ep_rew_mean          | 55.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 451         |
|    time_elapsed         | 1970        |
|    total_timesteps      | 923648      |
| train/                  |             |
|    approx_kl            | 0.013721671 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.667      |
|    explained_variance   | 0.28        |
|    learning_rate        | 0.0003      |
|    loss                 | 155         |
|    n_updates            | 4500        |
|    policy_gradient_loss | -0.0215     |
|    value_loss           | 294         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 32.7       |
|    ep_rew_mean          | 52.8       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 452        |
|    time_elapsed         | 1974       |
|    total_timesteps      | 925696     |
| train/                  |            |
|    approx_kl            | 0.01702553 |
|    clip_fraction        | 0.143      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.638     |
|    explained_variance   | 0.347      |
|    learning_rate        | 0.0003     |
|    loss                 | 157        |
|    n_updates            | 4510       |
|    policy_gradient_loss | -0.0235    |
|    value_loss           | 294        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 50          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 453         |
|    time_elapsed         | 1978        |
|    total_timesteps      | 927744      |
| train/                  |             |
|    approx_kl            | 0.010887659 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.623      |
|    explained_variance   | 0.32        |
|    learning_rate        | 0.0003      |
|    loss                 | 99.6        |
|    n_updates            | 4520        |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 327         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 60.1        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 454         |
|    time_elapsed         | 1983        |
|    total_timesteps      | 929792      |
| train/                  |             |
|    approx_kl            | 0.017361343 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.628      |
|    explained_variance   | 0.323       |
|    learning_rate        | 0.0003      |
|    loss                 | 81.8        |
|    n_updates            | 4530        |
|    policy_gradient_loss | -0.0248     |
|    value_loss           | 253         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.4        |
|    ep_rew_mean          | 65          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 455         |
|    time_elapsed         | 1987        |
|    total_timesteps      | 931840      |
| train/                  |             |
|    approx_kl            | 0.016481232 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.607      |
|    explained_variance   | 0.263       |
|    learning_rate        | 0.0003      |
|    loss                 | 60.4        |
|    n_updates            | 4540        |
|    policy_gradient_loss | -0.0255     |
|    value_loss           | 307         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 62          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 456         |
|    time_elapsed         | 1992        |
|    total_timesteps      | 933888      |
| train/                  |             |
|    approx_kl            | 0.015612211 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.591      |
|    explained_variance   | 0.326       |
|    learning_rate        | 0.0003      |
|    loss                 | 117         |
|    n_updates            | 4550        |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 325         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.6        |
|    ep_rew_mean          | 57.1        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 457         |
